#{"t_start": 1763358890.7584512, "env_id": "GridWorldStatic-v0"}
r,l,t
26.0,3,23.513728
23.0,4,23.51973
26.0,3,23.52473
7.0,6,23.533285
32.0,1,23.534438
23.0,4,23.54392
10.0,5,23.554614
23.0,4,23.564408
32.0,1,23.566874
18.0,4,23.575663
18.0,4,23.582891
29.0,2,23.587095
29.0,2,23.593808
32.0,1,23.595805
32.0,1,23.597805
29.0,2,23.6018
9.0,7,23.615127
29.0,2,23.619608
29.0,2,23.623631
32.0,1,23.625628
23.0,4,23.632697
18.0,4,23.641208
17.0,6,23.652095
32.0,1,23.654096
15.0,5,23.664522
29.0,2,23.669531
26.0,3,23.675519
29.0,2,23.679528
26.0,3,23.686899
29.0,2,23.691872
29.0,2,23.695628
26.0,3,23.702939
20.0,5,23.713738
26.0,3,23.720493
20.0,5,23.732085
23.0,4,23.741901
32.0,1,23.744876
32.0,1,23.747071
29.0,2,23.75109
23.0,4,23.759855
20.0,5,23.770819
32.0,1,23.772821
12.0,6,23.7864
23.0,4,23.794848
12.0,6,23.808165
32.0,1,23.811477
17.0,6,23.824975
17.0,6,24.091778
17.0,6,24.099775
20.0,5,24.107297
29.0,2,24.109331
23.0,4,24.115325
21.0,3,24.11943
29.0,2,24.123429
18.0,4,24.129189
20.0,5,24.136878
26.0,3,24.140879
26.0,3,24.145246
23.0,4,24.150297
15.0,5,24.157826
29.0,2,24.159828
26.0,3,24.164701
18.0,4,24.1707
29.0,2,24.174757
9.0,7,24.186755
32.0,1,24.188022
29.0,2,24.191231
20.0,5,24.198405
20.0,5,24.206285
1.0,8,24.217413
23.0,4,24.223851
20.0,5,24.232011
26.0,3,24.235518
23.0,4,24.241775
26.0,3,24.246768
32.0,1,24.247766
14.0,7,24.25929
17.0,6,24.27102
23.0,4,24.278555
23.0,4,24.284561
29.0,2,24.288557
29.0,2,24.292892
23.0,4,24.297899
32.0,1,24.2999
14.0,7,24.312674
26.0,3,24.319384
29.0,2,24.323775
32.0,1,24.325093
26.0,3,24.332795
26.0,3,24.339462
23.0,4,24.345954
5.0,5,24.354956
17.0,6,24.366339
20.0,5,24.37723
29.0,2,24.380559
26.0,3,24.386027
29.0,2,24.392302
29.0,2,24.396769
23.0,4,24.404863
23.0,4,24.412426
23.0,4,24.425569
26.0,3,24.438586
29.0,2,24.443585
32.0,1,24.446578
26.0,3,24.452082
29.0,2,24.45809
23.0,4,24.467087
29.0,2,24.4731
9.0,7,24.489655
18.0,4,24.498103
21.0,3,24.504086
29.0,2,24.509081
32.0,1,24.511083
26.0,3,24.523078
23.0,4,24.550084
29.0,2,24.55461
26.0,3,24.559604
29.0,2,24.565604
17.0,6,24.584603
23.0,4,24.594599
20.0,5,24.861832
29.0,2,24.865846
23.0,4,24.873431
26.0,3,24.880429
29.0,2,24.886019
26.0,3,24.893426
23.0,4,24.900574
20.0,5,24.908609
23.0,4,24.914359
9.0,7,24.925708
26.0,3,24.929707
29.0,2,24.932707
26.0,3,24.936705
26.0,3,24.940711
18.0,4,24.946719
32.0,1,24.94771
26.0,3,24.952214
29.0,2,24.955228
20.0,5,24.962928
23.0,4,24.968092
29.0,2,24.970562
23.0,4,24.976566
32.0,1,24.978561
-6.0,7,24.988598
23.0,4,24.994903
20.0,5,25.001901
26.0,3,25.008232
23.0,4,25.015203
17.0,6,25.025195
26.0,3,25.030197
9.0,7,25.041556
26.0,3,25.046689
32.0,1,25.047689
20.0,5,25.055216
32.0,1,25.05745
18.0,4,25.063426
20.0,5,25.070461
26.0,3,25.075466
29.0,2,25.077461
15.0,5,25.087308
23.0,4,25.095303
9.0,7,25.108302
15.0,5,25.118298
23.0,4,25.125298
18.0,4,25.131299
32.0,1,25.133298
32.0,1,25.135296
29.0,2,25.140311
32.0,1,25.143314
23.0,4,25.151823
26.0,3,25.158966
23.0,4,25.167616
29.0,2,25.172664
26.0,3,25.179891
23.0,4,25.190368
29.0,2,25.194371
26.0,3,25.201368
23.0,4,25.210367
23.0,4,25.220364
29.0,2,25.223361
32.0,1,25.22536
23.0,4,25.230359
26.0,3,25.234376
26.0,3,25.241375
20.0,5,25.25392
20.0,5,25.263916
20.0,5,25.273914
9.0,7,25.289912
11.0,8,25.307907
32.0,1,25.309904
29.0,2,25.314906
29.0,2,25.319905
26.0,3,25.58788
23.0,4,25.595132
17.0,6,25.605386
23.0,4,25.612338
26.0,3,25.615718
26.0,3,25.621715
23.0,4,25.630711
17.0,6,25.640344
29.0,2,25.644691
29.0,2,25.649753
26.0,3,25.655667
26.0,3,25.662664
26.0,3,25.66712
29.0,2,25.672348
26.0,3,25.676685
29.0,2,25.679682
6.0,8,25.697778
20.0,5,25.711194
32.0,1,25.713702
32.0,1,25.715702
23.0,4,25.722912
12.0,6,25.732906
23.0,4,25.739913
29.0,2,25.743985
29.0,2,25.745986
32.0,1,25.748224
32.0,1,25.749219
20.0,5,25.757673
26.0,3,25.761671
32.0,1,25.763873
23.0,4,25.771867
23.0,4,25.777622
18.0,4,25.784626
32.0,1,25.785623
20.0,5,25.796897
21.0,3,25.802895
29.0,2,25.80736
29.0,2,25.811361
20.0,5,25.818387
20.0,5,25.829418
32.0,1,25.831437
29.0,2,25.835405
32.0,1,25.837405
20.0,5,25.84359
20.0,5,25.849589
17.0,6,25.857051
20.0,5,25.864515
26.0,3,25.869514
23.0,4,25.876512
23.0,4,25.884511
26.0,3,25.88998
23.0,4,25.897007
23.0,4,25.905155
17.0,6,25.916167
23.0,4,25.924174
26.0,3,25.929173
