#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
23.0,4,16.432495
13.0,4,16.434495
20.0,5,16.437733
26.0,3,16.439733
-141.0,42,16.464681
-62.0,24,16.479743
-81.0,27,16.496741
12.0,6,16.500741
-16.0,12,16.50874
-215.0,65,16.551945
-6.0,12,16.560278
-23.0,11,16.567277
-129.0,33,16.589785
20.0,5,16.684614
-193.0,46,16.714512
-115.0,40,16.741208
11.0,8,16.746718
-36.0,17,16.757931
-31.0,17,16.768282
-117.0,34,16.789932
-31.0,17,16.800946
32.0,1,16.80195
5.0,10,16.807946
-43.0,16,16.818965
17.0,6,16.82296
-24.0,13,16.831292
-111.0,27,16.935827
-100.0,30,16.955451
-12.0,14,16.964452
1.0,8,16.96945
-23.0,11,16.976449
-70.0,25,16.993448
20.0,5,16.996447
-42.0,19,17.008446
-222.0,59,17.048317
-113.0,31,17.070315
-12.0,9,17.076317
-44.0,23,17.091314
-29.0,18,17.103312
-46.0,22,17.206446
-4.0,13,17.214445
-78.0,31,17.23399
14.0,7,17.239011
-37.0,19,17.251718
23.0,4,17.25406
-40.0,15,17.264063
20.0,5,17.267096
32.0,1,17.267096
12.0,6,17.271771
9.0,7,17.276766
26.0,3,17.278774
-103.0,31,17.29918
6.0,8,17.304311
21.0,3,17.30631
12.0,6,17.31031
-4.0,8,17.315309
13.0,4,17.318311
18.0,4,17.321317
26.0,3,17.323317
-92.0,34,17.345036
-65.0,25,17.361401
-142.0,34,17.473228
-12.0,14,17.482227
-76.0,27,17.499225
-16.0,12,17.507224
29.0,2,17.508223
-127.0,34,17.530872
-110.0,35,17.553796
11.0,8,17.558794
-33.0,16,17.569801
8.0,4,17.571801
-255.0,70,17.617299
-199.0,63,17.744458
20.0,5,17.748155
-15.0,10,17.754975
-9.0,13,17.763401
-5.0,10,17.770129
-116.0,37,17.794172
-35.0,20,17.807171
-7.0,14,17.816178
-10.0,10,17.823178
-2.0,9,17.828792
20.0,5,17.831792
