#{"t_start": 1763327215.4783542, "env_id": "GridWorldMoving-v0"}
r,l,t
-189.0,43,19.054319
26.0,3,19.056418
-22.0,14,19.066525
-450.0,100,19.229459
-89.0,28,19.250452
6.0,8,19.256451
10.0,5,19.26045
-189.0,58,19.301449
-42.0,24,19.320954
32.0,1,19.321954
-45.0,20,19.336952
-8.0,11,19.346951
12.0,6,19.35295
20.0,5,19.361592
-57.0,19,19.489637
-13.0,11,19.49964
7.0,6,19.50464
-76.0,27,19.529153
-177.0,49,19.572612
29.0,2,19.574749
-24.0,13,19.586279
-201.0,57,19.628298
-97.0,34,19.651846
-30.0,15,19.662844
-112.0,34,19.773976
-12.0,14,19.783974
-119.0,43,19.815496
9.0,7,19.821496
-57.0,24,19.839493
23.0,4,19.842494
-61.0,22,19.866492
-75.0,25,19.896487
-73.0,26,19.919392
0.0,10,19.92839
4.0,7,19.934389
-74.0,28,19.961536
-180.0,50,20.257384
-2.0,9,20.266382
-86.0,32,20.294332
-2.0,9,20.302363
-57.0,24,20.322029
-5.0,10,20.330266
14.0,7,20.337103
17.0,6,20.343305
-68.0,31,20.370887
-24.0,18,20.387779
32.0,1,20.388778
1.0,8,20.396446
-8.0,11,20.408378
-64.0,28,20.435459
-2.0,9,20.443873
32.0,1,20.444959
-13.0,11,20.454189
-13.0,16,20.465189
-30.0,15,20.477192
-113.0,26,20.620992
-182.0,49,20.665289
15.0,5,20.669288
-126.0,47,20.707684
-71.0,27,20.729438
-62.0,24,20.747435
-1.0,12,20.756436
9.0,7,20.762902
32.0,1,20.763903
-59.0,23,20.785478
-28.0,11,20.795275
-9.0,8,20.802761
32.0,1,20.805055
32.0,1,20.806055
23.0,4,20.809063
26.0,3,20.81149
-105.0,35,20.992574
32.0,1,20.993574
-100.0,35,21.020127
-64.0,28,21.041822
-20.0,15,21.05573
-21.0,17,21.066991
-187.0,54,21.108318
-23.0,16,21.120273
-201.0,62,21.165521
24.0,2,21.167669
-1.0,7,21.267545
14.0,7,21.272543
-196.0,57,21.313811
-94.0,28,21.334275
21.0,3,21.336332
-71.0,27,21.356481
-116.0,37,21.383846
-4.0,13,21.39452
-28.0,16,21.406933
-23.0,11,21.41544
0.0,10,21.422439
23.0,4,21.425438
-146.0,47,21.552679
29.0,2,21.553679
-54.0,23,21.570313
18.0,4,21.573326
-115.0,30,21.597681
-43.0,21,21.615735
18.0,4,21.619735
-163.0,46,21.652611
-56.0,22,21.669629
29.0,2,21.670638
20.0,5,21.674638
-19.0,13,21.684767
3.0,9,21.691962
1.0,8,21.69848
5.0,10,21.707019
-64.0,23,21.727607
-90.0,30,21.846762
-20.0,15,21.856761
-291.0,72,21.908584
-105.0,30,21.929031
32.0,1,21.930032
-12.0,9,21.936977
16.0,3,21.938976
20.0,5,21.942458
-25.0,15,21.954576
-135.0,35,21.978436
-15.0,10,21.984789
3.0,9,21.991956
-28.0,16,22.00407
-20.0,15,22.013689
7.0,6,22.018275
-20.0,10,22.123238
-51.0,17,22.136235
23.0,4,22.139234
29.0,2,22.140234
14.0,7,22.146233
-73.0,26,22.165351
-227.0,59,22.209281
-46.0,22,22.225787
9.0,7,22.230786
-180.0,55,22.27178
-48.0,21,22.286778
-230.0,65,22.434572
-20.0,15,22.445854
-93.0,36,22.468741
-193.0,61,22.513099
-46.0,22,22.529969
29.0,2,22.53197
-109.0,33,22.556319
-151.0,32,22.587715
-20.0,15,22.601718
-9.0,13,22.710294
6.0,8,22.715659
-2.0,9,22.722458
-95.0,35,22.74789
-44.0,18,22.761228
-324.0,88,22.827929
-12.0,14,22.837791
-134.0,33,22.863401
-165.0,45,22.896363
-5.0,10,23.002301
26.0,3,23.0043
-105.0,35,23.02995
-94.0,28,23.050778
-158.0,41,23.082583
-19.0,13,23.09261
29.0,2,23.09361
-26.0,17,23.10784
-29.0,18,23.12063
1.0,8,23.127079
-415.0,100,23.298018
-42.0,19,23.312533
5.0,10,23.320051
-14.0,13,23.329259
11.0,8,23.33459
6.0,8,23.340792
17.0,6,23.344793
-130.0,40,23.373269
29.0,2,23.375298
-52.0,19,23.388741
-45.0,15,23.399987
-9.0,13,23.409328
1.0,8,23.415892
-148.0,41,23.445366
-35.0,20,23.459655
-29.0,18,23.561371
-88.0,36,23.587985
-17.0,14,23.597984
29.0,2,23.598984
4.0,7,23.603986
-6.0,12,23.612985
-25.0,20,23.627492
-77.0,24,23.64449
-25.0,15,23.655488
-46.0,22,23.671486
-7.0,9,23.678485
29.0,2,23.679487
-32.0,14,23.688799
32.0,1,23.689801
-94.0,33,23.715835
-24.0,13,23.725842
-105.0,30,23.749129
32.0,1,23.750138
14.0,7,23.842788
32.0,1,23.843788
-100.0,30,23.862798
-70.0,25,23.881135
-293.0,81,23.947879
18.0,4,23.95085
-216.0,62,23.998136
32.0,1,23.999136
29.0,2,24.000136
-148.0,46,24.156528
-17.0,14,24.168538
-50.0,20,24.189848
29.0,2,24.191848
-11.0,12,24.203852
17.0,6,24.209854
-128.0,46,24.255161
14.0,7,24.262162
-36.0,17,24.279608
-31.0,17,24.298928
0.0,10,24.30832
-14.0,13,24.319833
-58.0,21,24.33883
-1.0,7,24.345829
29.0,2,24.34783
7.0,6,24.352829
-5.0,10,24.363832
-66.0,22,24.387975
29.0,2,24.389973
-120.0,40,24.522398
-29.0,18,24.535847
-60.0,20,24.551017
0.0,10,24.558016
32.0,1,24.559016
