#{"t_start": 1763034752.2000313, "env_id": "GridWorldStatic-v0"}
r,l,t
26.0,3,24.905402
32.0,1,24.907402
20.0,5,24.913402
21.0,3,24.917402
10.0,5,24.923402
20.0,5,25.114603
26.0,3,25.118603
18.0,4,25.124603
23.0,4,25.130639
26.0,3,25.134639
26.0,3,25.140639
23.0,4,25.147191
26.0,3,25.153192
21.0,3,25.158191
26.0,3,25.163191
23.0,4,25.168191
14.0,7,25.178161
29.0,2,25.181162
23.0,4,25.186161
10.0,5,25.193161
4.0,7,25.203161
26.0,3,25.207161
9.0,7,25.216163
29.0,2,25.219166
26.0,3,25.223727
23.0,4,25.228767
4.0,7,25.238789
17.0,6,25.247312
26.0,3,25.251311
29.0,2,25.254311
26.0,3,25.258312
26.0,3,25.262366
26.0,3,25.266364
26.0,3,25.270364
21.0,3,25.274364
26.0,3,25.278856
21.0,3,25.282855
26.0,3,25.286854
20.0,5,25.293854
15.0,5,25.304374
29.0,2,25.307382
9.0,7,25.316399
32.0,1,25.317399
4.0,7,25.325376
12.0,6,25.33296
23.0,4,25.33796
32.0,1,25.33896
18.0,4,25.34396
20.0,5,25.349512
21.0,3,25.353513
12.0,6,25.360521
23.0,4,25.365512
29.0,2,25.367512
26.0,3,25.371486
4.0,7,25.381075
29.0,2,25.383514
21.0,3,25.386729
32.0,1,25.388729
26.0,3,25.391729
29.0,2,25.394732
26.0,3,25.398729
20.0,5,25.404783
15.0,5,25.410761
26.0,3,25.414289
26.0,3,25.419289
29.0,2,25.421289
32.0,1,25.422289
32.0,1,25.424289
29.0,2,25.427289
26.0,3,25.430356
23.0,4,25.436383
20.0,5,25.456982
32.0,1,25.458958
26.0,3,25.462982
1.0,8,25.472982
26.0,3,25.658591
20.0,5,25.665449
32.0,1,25.666622
23.0,4,25.67193
23.0,4,25.678931
24.0,2,25.680924
20.0,5,25.687924
29.0,2,25.690926
32.0,1,25.692931
26.0,3,25.697432
2.0,11,25.711478
23.0,4,25.716681
26.0,3,25.721116
32.0,1,25.722561
29.0,2,25.724585
29.0,2,25.728026
26.0,3,25.732033
23.0,4,25.737033
21.0,3,25.741033
26.0,3,25.744884
29.0,2,25.747929
20.0,5,25.755351
32.0,1,25.756582
17.0,6,25.765926
17.0,6,25.773583
29.0,2,25.776943
26.0,3,25.780939
23.0,4,25.786942
20.0,5,25.792977
29.0,2,25.796791
32.0,1,25.799229
15.0,5,25.805228
20.0,5,25.812716
-2.0,9,25.82471
12.0,6,25.832733
14.0,7,25.841733
26.0,3,25.846324
26.0,3,25.850321
17.0,6,25.857321
14.0,7,25.86532
29.0,2,25.868334
29.0,2,25.870893
24.0,2,25.872895
9.0,7,25.880654
23.0,4,25.885848
12.0,6,25.892889
26.0,3,25.896894
17.0,6,25.904109
26.0,3,25.907109
26.0,3,25.911094
18.0,4,25.916181
-14.0,8,25.925488
18.0,4,25.930524
29.0,2,25.933559
26.0,3,25.9372
20.0,5,25.942424
29.0,2,25.94583
32.0,1,25.946991
24.0,2,25.951249
29.0,2,25.954249
29.0,2,25.957249
6.0,8,25.969249
4.0,7,25.978249
17.0,6,25.99025
23.0,4,25.998249
15.0,5,26.210988
32.0,1,26.213138
32.0,1,26.218271
32.0,1,26.220293
26.0,3,26.224291
32.0,1,26.226297
32.0,1,26.227314
32.0,1,26.228656
26.0,3,26.234398
23.0,4,26.24006
29.0,2,26.243781
29.0,2,26.24732
32.0,1,26.248319
26.0,3,26.253363
29.0,2,26.255363
15.0,5,26.262364
26.0,3,26.266366
23.0,4,26.272408
26.0,3,26.276412
24.0,2,26.279084
17.0,6,26.287092
24.0,2,26.289091
26.0,3,26.293464
29.0,2,26.296462
29.0,2,26.298462
32.0,1,26.300462
17.0,6,26.308463
23.0,4,26.314459
32.0,1,26.315459
23.0,4,26.321458
32.0,1,26.322458
21.0,3,26.326463
23.0,4,26.33247
29.0,2,26.33447
32.0,1,26.33647
5.0,10,26.350052
23.0,4,26.355055
32.0,1,26.35705
20.0,5,26.36305
18.0,4,26.369049
26.0,3,26.37205
26.0,3,26.376049
9.0,7,26.386053
6.0,8,26.396049
9.0,7,26.406049
23.0,4,26.411049
18.0,4,26.415049
26.0,3,26.419049
26.0,3,26.422049
9.0,7,26.430306
26.0,3,26.433306
29.0,2,26.436306
23.0,4,26.440306
29.0,2,26.443306
20.0,5,26.448857
29.0,2,26.450857
23.0,4,26.455858
23.0,4,26.460858
17.0,6,26.466857
23.0,4,26.471858
7.0,6,26.478858
23.0,4,26.482857
32.0,1,26.484857
26.0,3,26.487857
23.0,4,26.492857
15.0,5,26.500566
32.0,1,26.501614
23.0,4,26.506205
29.0,2,26.508205
26.0,3,26.512205
23.0,4,26.517205
20.0,5,26.522205
26.0,3,26.526205
32.0,1,26.527205
23.0,4,26.532242
32.0,1,26.533242
32.0,1,26.535242
20.0,5,26.540242
32.0,1,26.542242
32.0,1,26.543242
26.0,3,26.73544
21.0,3,26.74044
29.0,2,26.74344
29.0,2,26.745954
15.0,5,26.752992
26.0,3,26.756992
23.0,4,26.763237
18.0,4,26.768969
26.0,3,26.772491
32.0,1,26.77349
15.0,5,26.779491
20.0,5,26.78549
29.0,2,26.787491
26.0,3,26.791492
-1.0,7,26.80349
15.0,5,26.810492
20.0,5,26.81749
23.0,4,26.82349
29.0,2,26.825786
23.0,4,26.831809
29.0,2,26.833809
17.0,6,26.841809
26.0,3,26.846328
-4.0,8,26.855326
20.0,5,26.861327
29.0,2,26.863327
29.0,2,26.865327
26.0,3,26.869327
15.0,5,26.875915
32.0,1,26.87716
29.0,2,26.880214
26.0,3,26.884209
13.0,4,26.88921
20.0,5,26.895214
18.0,4,26.900209
29.0,2,26.903211
20.0,5,26.910211
20.0,5,26.917214
29.0,2,26.91926
29.0,2,26.922444
29.0,2,26.925463
32.0,1,26.926807
32.0,1,26.928833
20.0,5,26.935623
29.0,2,26.937621
26.0,3,26.940621
32.0,1,26.942624
29.0,2,26.944627
23.0,4,26.949144
23.0,4,26.954144
23.0,4,26.958144
29.0,2,26.961144
26.0,3,26.964144
23.0,4,26.969144
26.0,3,26.972149
29.0,2,26.974144
29.0,2,26.977144
29.0,2,26.979144
29.0,2,26.981144
17.0,6,26.988149
20.0,5,26.994144
23.0,4,26.999145
17.0,6,27.007144
32.0,1,27.008144
15.0,5,27.013713
23.0,4,27.018782
26.0,3,27.021809
20.0,5,27.028808
21.0,3,27.03282
20.0,5,27.038822
21.0,3,27.041819
32.0,1,27.043819
11.0,8,27.052336
26.0,3,27.056336
21.0,3,27.060365
21.0,3,27.249566
26.0,3,27.254566
23.0,4,27.259566
29.0,2,27.262566
26.0,3,27.267566
32.0,1,27.269566
29.0,2,27.272567
29.0,2,27.275566
20.0,5,27.284566
32.0,1,27.286566
32.0,1,27.287566
20.0,5,27.296566
12.0,6,27.304537
20.0,5,27.310538
20.0,5,27.317537
17.0,6,27.324536
26.0,3,27.328536
23.0,4,27.33432
32.0,1,27.335338
15.0,5,27.342645
23.0,4,27.348245
24.0,2,27.35124
26.0,3,27.355243
32.0,1,27.356241
32.0,1,27.358242
32.0,1,27.359243
20.0,5,27.366514
23.0,4,27.371511
20.0,5,27.379783
18.0,4,27.385782
9.0,7,27.394819
26.0,3,27.399246
20.0,5,27.406251
26.0,3,27.410915
18.0,4,27.415949
26.0,3,27.421782
26.0,3,27.425552
20.0,5,27.432558
23.0,4,27.438561
29.0,2,27.441557
23.0,4,27.446482
32.0,1,27.447493
29.0,2,27.450493
29.0,2,27.452493
26.0,3,27.456511
32.0,1,27.457512
17.0,6,27.464784
23.0,4,27.46978
32.0,1,27.47078
32.0,1,27.471781
26.0,3,27.475905
18.0,4,27.481154
18.0,4,27.485154
29.0,2,27.488384
17.0,6,27.49561
23.0,4,27.499803
