#{"t_start": 1763361708.8632033, "env_id": "GridWorldMoving-v0"}
r,l,t
-106.0,32,50.257708
15.0,5,50.2647
-248.0,66,50.357877
-3.0,11,50.37403
-13.0,11,50.390149
32.0,1,50.391154
-61.0,22,50.424325
11.0,8,50.437016
11.0,8,50.44932
-31.0,22,50.487007
-29.0,13,50.517004
-64.0,23,50.559988
4.0,7,50.573321
-10.0,10,50.587839
32.0,1,50.588822
-143.0,46,50.852418
-18.0,11,50.869191
-7.0,9,50.882456
29.0,2,50.885456
26.0,3,50.889611
6.0,8,50.900999
17.0,6,50.909864
-154.0,48,50.98443
-154.0,43,51.054492
-48.0,16,51.083683
-81.0,27,51.125579
-26.0,12,51.144625
-68.0,26,51.19171
-425.0,100,51.54038
18.0,4,51.547455
10.0,5,51.554495
32.0,1,51.555495
-50.0,20,51.584068
29.0,2,51.5872
-64.0,23,51.619359
23.0,4,51.625358
-54.0,23,51.653392
-36.0,17,51.68288
-37.0,19,51.722575
-17.0,14,51.749634
7.0,6,51.762321
14.0,7,51.776014
29.0,2,51.779961
-150.0,40,52.082439
-61.0,22,52.11388
23.0,4,52.119041
-42.0,19,52.145608
29.0,2,52.148607
11.0,8,52.16062
-173.0,46,52.226143
21.0,3,52.231143
12.0,6,52.239142
11.0,8,52.251141
23.0,4,52.256153
-7.0,9,52.268148
-16.0,12,52.283317
18.0,4,52.28932
-108.0,36,52.359743
10.0,5,52.366741
-37.0,19,52.401805
-41.0,17,52.431258
-5.0,10,52.443507
-79.0,23,52.666857
1.0,8,52.677645
-14.0,13,52.695403
-105.0,35,52.74554
-78.0,21,52.775384
-2.0,9,52.788163
-5.0,10,52.80169
-179.0,48,52.867735
-78.0,26,52.89988
-26.0,17,52.921795
-259.0,68,53.202854
20.0,5,53.209854
-140.0,45,53.26872
23.0,4,53.275245
10.0,5,53.281245
-100.0,30,53.324127
-9.0,13,53.387932
-39.0,18,53.40993
-26.0,17,53.429929
-32.0,14,53.449927
26.0,3,53.453927
-7.0,9,53.464962
-45.0,20,53.493535
